Title,Count of tasks_to_dwas.csv
Solar Thermal Installers and Technicians,26
"Rail Yard Engineers, Dinkey Operators, and Hostlers",26
Purchasing Managers,26
"Pediatricians, General",26
Payroll and Timekeeping Clerks,26
Occupational Health and Safety Technicians,26
Nanotechnology Engineering Technologists and Technicians,26
Molecular and Cellular Biologists,26
Merchandise Displayers and Window Trimmers,26
"Meeting, Convention, and Event Planners",26
Insurance Sales Agents,26
Information Security Engineers,26
Highway Maintenance Workers,26
Helpers--Carpenters,26
Health Informatics Specialists,26
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",26
Genetic Counselors,26
General Internal Medicine Physicians,26
Funeral Attendants,26
Environmental Economists,26
"Electronics Engineers, Except Computer",26
Electricians,26
Document Management Specialists,26
Digital Forensics Analysts,26
Cooling and Freezing Equipment Operators and Tenders,26
Construction and Building Inspectors,26
"Compensation, Benefits, and Job Analysis Specialists",26
Commercial Pilots,26
Coaches and Scouts,26
Clinical Data Managers,26
Broadcast Announcers and Radio Disc Jockeys,26
Air Traffic Controllers,26
Video Game Designers,27
Urban and Regional Planners,27
Training and Development Specialists,27
Tool and Die Makers,27
"Textile Cutting Machine Setters, Operators, and Tenders",27
"Tailors, Dressmakers, and Custom Sewers",27
Statisticians,27
Radiation Therapists,27
Quality Control Analysts,27
Public Relations Managers,27
"Potters, Manufacturing",27
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",27
Petroleum Engineers,27
Parking Enforcement Workers,27
"Morticians, Undertakers, and Funeral Arrangers",27
Medical Equipment Repairers,27
Materials Engineers,27
Marketing Managers,27
Maids and Housekeeping Cleaners,27
Lawyers,27
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",27
Hydroelectric Plant Technicians,27
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",27
Geneticists,27
Fitness and Wellness Coordinators,27
"First-Line Supervisors of Mechanics, Installers, and Repairers",27
First-Line Supervisors of Correctional Officers,27
"Fine Artists, Including Painters, Sculptors, and Illustrators",27
Environmental Restoration Planners,27
"Dentists, General",27
Database Administrators,27
Correctional Officers and Jailers,27
Computer and Information Systems Managers,27
Childcare Workers,27
Chief Sustainability Officers,27
Art Therapists,27
Upholsterers,28
Substance Abuse and Behavioral Disorder Counselors,28
Shuttle Drivers and Chauffeurs,28
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",28
Security Management Specialists,28
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",28
Robotics Technicians,28
Robotics Engineers,28
Rail Car Repairers,28
Photographers,28
"Office Clerks, General",28
Nurse Midwives,28
Nanosystems Engineers,28
Mechanical Door Repairers,28
Labor Relations Specialists,28
Investment Fund Managers,28
Insurance Claims and Policy Processing Clerks,28
Human Factors Engineers and Ergonomists,28
General and Operations Managers,28
Fish and Game Wardens,28
First-Line Supervisors of Housekeeping and Janitorial Workers,28
Elevator and Escalator Installers and Repairers,28
Community Health Workers,28
Cargo and Freight Agents,28
Broadcast Technicians,28
Biofuels Processing Technicians,28
Animal Breeders,28
"Airline Pilots, Copilots, and Flight Engineers",28
Agricultural Technicians,28
Waiters and Waitresses,29
Transportation Security Screeners,29
Transportation Engineers,29
"Tool Grinders, Filers, and Sharpeners",29
Textile Bleaching and Dyeing Machine Operators and Tenders,29
Solar Photovoltaic Installers,29
Septic Tank Servicers and Sewer Pipe Cleaners,29
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",29
Retail Salespersons,29
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",29
Rail-Track Laying and Maintenance Equipment Operators,29
"Political Science Teachers, Postsecondary",29
"Philosophy and Religion Teachers, Postsecondary",29
Packaging and Filling Machine Operators and Tenders,29
Operating Engineers and Other Construction Equipment Operators,29
Musicians and Singers,29
"Mail Clerks and Mail Machine Operators, Except Postal Service",29
Hydrologists,29
"Health Specialties Teachers, Postsecondary",29
"Fraud Examiners, Investigators and Analysts",29
Flight Attendants,29
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,29
Exercise Trainers and Group Fitness Instructors,29
Exercise Physiologists,29
Electrical Power-Line Installers and Repairers,29
"Education and Childcare Administrators, Preschool and Daycare",29
"Economics Teachers, Postsecondary",29
Dining Room and Cafeteria Attendants and Bartender Helpers,29
Critical Care Nurses,29
Computer Systems Analysts,29
"Communications Teachers, Postsecondary",29
Chemical Equipment Operators and Tenders,29
Biomass Power Plant Managers,29
Biologists,29
Athletic Trainers,29
"Architecture Teachers, Postsecondary",29
Animal Caretakers,29
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",30
